pair_id	corpus_id	role	algorithm_id	method_semantic_id	problem_id	problem_semantic_id	paper_protocol_id	native_asset	implementation_status	analysis_id	analysis_path	analysis_sha256	validation_status	theory_status
Y36__taae_transformer_evolution_declared_reconstruction_v1__taae_zhangbei_structured_declared_proxy_v1__target	Y36	target	taae_transformer_evolution_declared_reconstruction_v1	taae_transformer_evolution_declared_reconstruction_v1	taae_zhangbei_structured_declared_proxy_v1	taae_zhangbei_structured_declared_proxy_v1	ma2026_native_25_v1	shared/contracts/taae_zhangbei_structured_declared_proxy_cases.json	executable_baseline	plan003_hpc_analysis__Y36__taae_transformer_evolution_declared_reconstruction_v1__taae_zhangbei_structured_declared_proxy_v1__target__v1	hpc/core_target_plans/y36_target_hpc_analysis.json	e7543741d64a6b0a4a9a0b7f7eba445f61936781aee1fc90cbcd36aae38fe69d	pending_h5_h6	accepted_pair_specific_h0_h4
L0608__alshade__alshade_complex_wake_117_v1__target	L0608	target	alshade	alshade_paper_derived_e0_physical_fes_v1	alshade_complex_wake_117	alshade_complex_wake_117_v1	pic2024_alshade_native_25_v1	shared/contracts/alshade_native_117_cases.json	executable_baseline	plan003_hpc_analysis__L0608__alshade__alshade_complex_wake_117_v1__target__v1	hpc/core_target_plans/l0608_target_hpc_analysis.json	1cd5156e1618f480aef7b38f3f05d65f088f164f425fcad23510211f9141bfa9	pending_h5_h6	accepted_pair_specific_h0_h4
T42__rlpso_paper_corrected_training_reconstruction_v1__rpso2024_source_problem_ws1_ws4__target	T42	target	rlpso_paper_corrected_training_reconstruction_v1	rlpso_paper_corrected_training_reconstruction_v1	rpso2024_source_problem_ws1_ws4	rpso2024_source_problem_ws1_ws4	energy2024_rlpso_native_25_v1	.source-cache/generated/rpso_source_problem/benchmark_cases.json	executable_baseline	plan003_hpc_analysis__T42__rlpso_paper_corrected_training_reconstruction_v1__rpso2024_source_problem_ws1_ws4__target__v1	hpc/core_target_plans/t42_target_hpc_analysis.json	2c2505b3703af00c788a3767e7dfc887c29d014c5a921eef9487110469ddb0b8	pending_h5_h6	accepted_pair_specific_h0_h4
T37__agpso__agpso_aiga_hgpso_landuse_156_v1__target	T37	target	agpso	agpso_paper_staged_parallel_e0_physical_fes_v1	agpso_aiga_hgpso_landuse_156	agpso_aiga_hgpso_landuse_156_v1	enconman2022_agpso_native_25_v1	shared/contracts/agpso_aiga_hgpso_native_156_cases.json	executable_baseline	plan003_hpc_analysis__T37__agpso__agpso_aiga_hgpso_landuse_156_v1__target__v1	hpc/core_target_plans/t37_target_hpc_analysis.json	ee1b4502c96188cf818a3d98b87c8833feefe26dbfc5c883203d6a815c1fb97c	pending_h5_h6	accepted_pair_specific_h0_h4
T45__alga_attention_declared_reconstruction_v1__alga_guishan_3d_declared_proxy_v1__target	T45	target	alga_attention_declared_reconstruction_v1	alga_attention_declared_reconstruction_v1	alga_guishan_3d_declared_proxy_v1	alga_guishan_3d_declared_proxy_v1	swevo2025_alga_native_25_v1	shared/contracts/alga_guishan_3d_declared_proxy_cases.json	executable_baseline	plan003_hpc_analysis__T45__alga_attention_declared_reconstruction_v1__alga_guishan_3d_declared_proxy_v1__target__v1	hpc/core_target_plans/t45_target_hpc_analysis.json	8683655365a199d46101134664331f9ddbc419f74ae3d941d2285afbc2b90560	pending_h5_h6	accepted_pair_specific_h0_h4
T38__clshade__clshade_landuse_117_v1__target	T38	target	clshade	clshade_paper_derived_e0_physical_fes_v1	clshade_landuse_117	clshade_landuse_117_v1	asoc2023_clshade_native_25_v1	shared/contracts/clshade_native_117_cases.json	executable_baseline	plan003_hpc_analysis__T38__clshade__clshade_landuse_117_v1__target__v1	hpc/core_target_plans/t38_target_hpc_analysis.json	c505567226ceffc50a5aad5f0246e209ce8adece5a0b2846d9dc285a3f87833b	pending_h5_h6	accepted_pair_specific_h0_h4
T39__ise__ise_landuse_117_v1__target	T39	target	ise	ise_paper_derived_e0_physical_fes_v1	ise_landuse_117	ise_landuse_117_v1	engappai2023_ise_native_25_v1	shared/contracts/ise_native_117_cases.json	executable_baseline	plan003_hpc_analysis__T39__ise__ise_landuse_117_v1__target__v1	hpc/core_target_plans/t39_target_hpc_analysis.json	c0aa12c9a2d12077149934731a39945d121fcbe70bfd71d2f21996057811ea47	pending_h5_h6	accepted_pair_specific_h0_h4
T46__moead_p__zhang2025_three_objective__target	T46	target	moead_p	moead_p_repaired_v1	zhang2025_three_objective	zhang2025_three_objective	swevo2025_moeadp_native_25_v1	shared/contracts/pbea_execution_contract.json	executable_baseline	plan003_hpc_analysis__T46__moead_p__zhang2025_three_objective__target__v1	hpc/core_target_plans/t46_target_hpc_analysis.json	38cd172c2491200753b690cc1ce0213a11d118d65d13eb331fc56b5a0574a90c	pending_h5_h6	accepted_pair_specific_h0_h4
S04__fqfode_seeded_training_declared_reconstruction_v1__fode_wflop_e0_legacy_v1__target	S04	target	fqfode_seeded_training_declared_reconstruction_v1	fqfode_seeded_training_declared_reconstruction_v1	fode_e0_common	fode_wflop_e0_legacy_v1	math2025_fqfode_native_25_v1	shared/contracts/benchmark_cases.json	executable_baseline	plan003_hpc_analysis__S04__fqfode_seeded_training_declared_reconstruction_v1__fode_wflop_e0_legacy_v1__target__v1	hpc/core_target_plans/s04_target_hpc_analysis.json	2cb3f0101a2aefe14f86e642acb24ba2bda3a7175f9d02aec4259c2cc082fd57	pending_h5_h6	accepted_pair_specific_h0_h4
S03__fode__fode_wflop_e0_legacy_v1__target	S03	target	fode	fode_e0_physical_fes	fode_e0_common	fode_wflop_e0_legacy_v1	math2025_fode_native_25_v1	shared/contracts/benchmark_cases.json	executable_baseline	plan003_hpc_analysis__S03__fode__fode_wflop_e0_legacy_v1__target__v1	hpc/core_target_plans/s03_target_hpc_analysis.json	b998815f6f74de814b318193a7748f046a45b25964d79902a9c007d28b5d30bb	pending_h5_h6	accepted_pair_specific_h0_h4
S05__wfadde__wfadde_native_declared_24_p3_v1__target	S05	target	wfadde	wfadde_preprint_derived_e0_physical_fes_v1	wfadde_native_declared_24	wfadde_native_declared_24_p3_v1	ssrn2026_wfadde_native_25_v1	shared/contracts/wfadde_native_declared_24_cases.json	executable_baseline	plan003_hpc_analysis__S05__wfadde__wfadde_native_declared_24_p3_v1__target__v1	hpc/core_target_plans/s05_target_hpc_analysis.json	7a52e8c49f3b38b454dae82c22cc8e08cc882cd8c83661beb8658b10d0fdad7a	pending_h5_h6	accepted_pair_specific_h0_h4
T41__aiga__agpso_aiga_hgpso_landuse_156_v1__target	T41	target	aiga	aiga_paper_derived_e0_physical_fes_v1	agpso_aiga_hgpso_landuse_156	agpso_aiga_hgpso_landuse_156_v1	jbe2024_aiga_native_25_v1	shared/contracts/agpso_aiga_hgpso_native_156_cases.json	executable_baseline	plan003_hpc_analysis__T41__aiga__agpso_aiga_hgpso_landuse_156_v1__target__v1	hpc/core_target_plans/t41_target_hpc_analysis.json	81bc0828e9cc5b3c0ab1df334780b6203e7ccc01f80cee15508c881ac6b329af	pending_h5_h6	accepted_pair_specific_h0_h4
T47__ciga__ciga_native_declared_4_p3_v1__target	T47	target	ciga	ciga_paper_derived_e0_physical_fes_v1	ciga_native_declared_4	ciga_native_declared_4_p3_v1	eitce2025_ciga_native_25_v1	shared/contracts/ciga_native_declared_4_cases.json	executable_baseline	plan003_hpc_analysis__T47__ciga__ciga_native_declared_4_p3_v1__target__v1	hpc/core_target_plans/t47_target_hpc_analysis.json	9d904c27e3b830843deb3c671cad8fa86061a1b1743a13569b53a6f768dea628	pending_h5_h6	accepted_pair_specific_h0_h4
S01__cede__fode_wflop_e0_legacy_v1__target	S01	target	cede	cede_paper_equations_physical_fes_v1	fode_e0_common	fode_wflop_e0_legacy_v1	math2024_cede_native_25_v1	shared/contracts/benchmark_cases.json	executable_baseline	plan003_hpc_analysis__S01__cede__fode_wflop_e0_legacy_v1__target__v1	hpc/core_target_plans/s01_target_hpc_analysis.json	0af2798b0d41a9c43910bb00fe01d3346badee49cf348844245b23ab5a5bc411	pending_h5_h6	accepted_pair_specific_h0_h4
