corpus_id	doi	target_algorithm	fact_files
Y36	10.1109/JAS.2026.126233	TAAE	hpc/taae_cpp/src/evolution.cpp;hpc/wflop_cpp/src/problems/taae_zhangbei_structured_proxy.cpp;hpc/learning_libtorch/src/models.cpp
L0608	10.1109/PIC62406.2024.10892732	A-LSHADE	hpc/wflop_cpp/src/algorithms.cpp
T42	10.1016/j.energy.2024.134050	RLPSO	hpc/wflop_cpp/src/algorithms/rlpso.cpp;hpc/learning_libtorch/src/models.cpp
T37	10.1016/j.enconman.2022.116174	AGPSO	hpc/wflop_cpp/src/algorithms.cpp
T45	10.1016/j.swevo.2025.102018	ALGA	hpc/wflop_cpp/src/algorithms/alga_attention_declared_reconstruction.cpp;hpc/learning_libtorch/src/models.cpp
T38	10.1016/j.asoc.2023.110306	CLSHADE	hpc/wflop_cpp/src/algorithms.cpp
T39	10.1016/j.engappai.2023.106198	ISE	hpc/wflop_cpp/src/algorithms.cpp
T46	10.1016/j.swevo.2025.101972	MOEA/D-P	hpc/pbea_cpp/src/main.cpp
S04	10.3390/math13182935	FQFODE	hpc/wflop_cpp/src/algorithms/rlfode_seeded_reconstruction.cpp
S03	10.3390/math13020282	FODE	hpc/fode_cpp/src/optimizer.cpp
S05	10.2139/ssrn.6135326	WFADDE	hpc/wflop_cpp/src/algorithms.cpp
T41	10.1007/s42235-024-00498-3	AIGA	hpc/wflop_cpp/src/algorithms.cpp
T47	10.1145/3766671.3766786	CIGA	hpc/wflop_cpp/src/algorithms.cpp
S01	10.3390/math12233762	CEDE	hpc/wflop_cpp/src/algorithms.cpp
S02	10.3390/electronics13163196	MS-SHADE	hpc/wflop_cpp/src/algorithms.cpp
Y34	10.1049/cit2.70150	LSDE	hpc/wflop_cpp/src/algorithms.cpp
T44	10.1016/j.energy.2025.137885	BDE	hpc/wflop_cpp/src/algorithms.cpp;hpc/bde_ws56_cpp/src/evolution.cpp
T43	10.1109/JAS.2025.125351	PPGA	hpc/ppga_cpp/src/evolution.cpp
Y06	10.1016/j.apenergy.2026.127895	GGA	hpc/gga_cpp/src/main.cpp
T36	10.1109/CPEEE69412.2026.11521465	T-MOEA	hpc/gga_cpp/src/main.cpp
L0726	10.1109/CBD69312.2025.00059	GeoGA	hpc/geoga_cpp/src/evolution.cpp
T40	10.1109/JAS.2023.123387	CGPSO	hpc/wflop_cpp/src/algorithms.cpp
Y35	10.26599/TST.2026.9010059	HGPSO	hpc/wflop_cpp/src/algorithms.cpp
