algorithm_id	item_id	paper_title	paper_doi	paper_pdf_sha256	paper_section_equation_or_algorithm	paper_value_or_stage	matlab_file_and_lines	source_value_or_order	selected_semantics	selection_reason	provenance	known_conflict	unit_test_id	status	owner_decision_id
benchmark	objective	A State-of-the-Art Fractional Order-Driven Differential Evolution for Wind Farm Layout Optimization	10.3390/math13020282	aa8ceb7febbf6730da8f048514e692dc5bab6edb9c9cfba4496cc24c1786c661	Section 2	Expected farm power	matlab/benchmark/support/wf_fitness_m0.m	Joint direction-speed probability-weighted sum	Joint-probability-weighted expected farm power in kW	Frozen FODE-E0-L problem identity	previously_adjudicated	Paper does not restate every implementation detail	O_EXPECTED_POWER_001	resolved	D0-A
benchmark	wake_model	A State-of-the-Art Fractional Order-Driven Differential Evolution for Wind Farm Layout Optimization	10.3390/math13020282	aa8ceb7febbf6730da8f048514e692dc5bab6edb9c9cfba4496cc24c1786c661	Eqs. 2-7	Jensen/Park top-hat wake	matlab/benchmark/support/wf_fitness_m0.m	Linear wake expansion and root-sum-square superposition	Archived aligned 3D Jensen/Park equations	Frozen problem equations	previously_adjudicated	Notation is incomplete without source context	O_WAKE_ALIGNED_3D	resolved	D0-A
benchmark	power_curve	A Chaotic Local Search-Based LSHADE with Enhanced Memory Storage Mechanism for Wind Farm Layout Optimization	10.1016/j.asoc.2023.110306	7ba8d957399a42f536598dabc548f496f2ae37be1fe21f573476850a9e729d8d	Eq. 30	Legacy synthetic power curve	matlab/benchmark/support/wf_fitness_m0.m	P(18 m/s)=0	Retain the legacy curve exactly	Benchmark identity requires literal boundary	previously_adjudicated	Boundary is a synthetic benchmark convention	O_POWER_18	resolved	D0-A
benchmark	physical_fes	A State-of-the-Art Fractional Order-Driven Differential Evolution for Wind Farm Layout Optimization	10.3390/math13020282	aa8ceb7febbf6730da8f048514e692dc5bab6edb9c9cfba4496cc24c1786c661	Experiment protocol	Maximum FES 24000	matlab/benchmark/support/wf_fitness.m	One completed population row invokes one complete layout evaluation	Exactly 24000 completed full-layout evaluations	Algorithm counters cannot redefine physical work	previously_adjudicated	Legacy counters differ across algorithms	O_FES_INITIALIZATION	resolved	D3-A
fode	population_rule	A State-of-the-Art Fractional Order-Driven Differential Evolution for Wind Farm Layout Optimization	10.3390/math13020282	aa8ceb7febbf6730da8f048514e692dc5bab6edb9c9cfba4496cc24c1786c661	Table 1 and Algorithm 1	Ninit=abs(77-D); Nmin=4	matlab/algorithms/fode/source/FODE.m:9,28-32	Ninit=abs(77-D); executable D=80 starts at 3	Ninit=abs(77-D); Nmin=min(4,Ninit)	Preserve the published implementation identity and disclose D=80 edge case	archived_executable_conflict_resolved	Table minimum and executable initial size cross at D=80	O_FODE_N80_POPULATION	resolved	D3-A
fode	fractional_update	A State-of-the-Art Fractional Order-Driven Differential Evolution for Wind Farm Layout Optimization	10.3390/math13020282	aa8ceb7febbf6730da8f048514e692dc5bab6edb9c9cfba4496cc24c1786c661	Eqs. 12-15 and Algorithm 1	a=0.8; fractional population history	matlab/algorithms/fode/source/FODE.m:41-118	History-weighted current-to-pbest mutation	Archived FODE state transition under a generation snapshot	Paper and source agree	paper_and_source	None	O_FODE_GENERATION_TRACE	resolved	
aga	stage_order	Wind Farm Layout Optimization Using Self-Informed Genetic Algorithm with Information Guided Exploitation	10.1016/j.apenergy.2019.04.084	62f93d5942ddbc2fd7e94eebf52544de9da3147b55729fd643034362f5004c6f	Algorithm Steps 1-6	Evaluate; reorder; select; crossover; mutate; iterate	matlab/algorithms/aga/source/AGA.m:22-69	Same phase order	Use paper stage order with deterministic phase barriers	Paper explicitly defines method identity	paper_first_source_completed	None	AGA_STAGE_ORDER	resolved	
aga	worst_relocation	Wind Farm Layout Optimization Using Self-Informed Genetic Algorithm with Information Guided Exploitation	10.1016/j.apenergy.2019.04.084	62f93d5942ddbc2fd7e94eebf52544de9da3147b55729fd643034362f5004c6f	Section 3 and adaptive operator	Move the lowest-power turbine once per parent	matlab/algorithms/aga/source/adaptive_move_worst.m	One feasible random replacement per layout	One worst-turbine replacement per parent	Direct paper/source agreement	paper_and_source	None	AGA_WORST_MOVE	resolved	
aga	genetic_thresholds	Wind Farm Layout Optimization Using Self-Informed Genetic Algorithm with Information Guided Exploitation	10.1016/j.apenergy.2019.04.084	62f93d5942ddbc2fd7e94eebf52544de9da3147b55729fd643034362f5004c6f	Reported GA controls	pe=0.2; pc=0.6; pm=0.1; pr=0.5	matlab/algorithms/aga/source/crossover.m; mutation.m	pc is not consumed; mutation executes when rand>pm	Keep source-completed executable thresholds and disclose effective mutation probability 0.9	The paper reports labels but not the archived guard direction	source_completed_registered	pc has no runtime effect; pm label implies the opposite probability	AGA_MUTATION_INVERTED_THRESHOLD	resolved	D3-A
sugga	relocation_branch	Wind Farm Layout Optimization Based on Support Vector Regression Guided Genetic Algorithm with Consideration of Participation Among Landowners	10.1016/j.enconman.2019.06.082	5b6605a967143073a4da442c6aa50c873562e6c0f5037b822f38a1862a68782f	Section 3	SVR-guided or random worst-turbine relocation	matlab/algorithms/sugga/source/SUGGA.m:36-64; sugga_move_worst.m	Fifty-percent random branch; guided branch tests five feasible cells	Use frozen case-specific SVR and the archived online branch details	Paper defines the branch and source supplies omitted counts	paper_first_frozen_source_completed	None	SUGGA_BRANCH_TRACE	resolved	
